Net worth: 74.21005249023438
Cash on hand: -1216.6599731445312
Number of shares owned: 7
Value of shares held: 1290.8700256347656
Latest price of share: 184.41000366210938
           Action  Number       Price
2022-07-06    buy       1  151.300003
2022-07-07    buy       1  158.580002
2022-07-08   sell       1  158.380005
2022-07-11   sell       1  151.520004
2022-07-12   sell       1  150.820007
2022-07-13    buy       1  151.639999
2022-07-14    buy       1  153.720001
2022-07-15    buy       1  157.619995
2022-07-18    buy       1  161.009995
2022-07-19    buy       1  169.919998
2022-07-20    buy       1  178.070007
2022-07-21    buy       1  180.500000
2022-07-22   sell       1  173.190002
2022-07-25   sell       1  170.240005
2022-07-26   sell       1  165.330002
2022-07-27    buy       1  177.899994
2022-07-28    buy       1  179.839996
2022-07-29    buy       1  181.630005
2022-08-01    buy       1  184.410004
